cro,avg_count,a,b,fit
68,7306.604315594906,0.15367791557705476,0.05277763665704651,yes
69,7407.542546820672,0.155892651829803,0.050020098532054386,yes
70,7510.412742190179,0.15231775412899537,0.05414947849638505,yes
71,7611.727404725148,0.13679317596013393,0.05878067054680998,yes
72,7709.346488301638,0.13399323884609105,0.06423882454847879,yes
73,7810.559772276453,0.1319026397907777,0.06509333274864278,yes
74,7907.846606783563,0.13854142993544716,0.06267698943994059,yes
75,8009.441849462208,0.1483222862588871,0.055220221777112506,yes
76,8107.1054724335245,0.1586772314186747,0.05363597380200743,yes
77,8206.491326705578,0.17640939097576033,0.045734332275610315,yes
78,8305.672860460945,0.16784435075713602,0.04845271927302871,yes
79,8408.326379689353,0.16013987143741987,0.05183580168280595,yes
80,8508.844210148083,0.15792717064939335,0.05691703498195139,yes
81,8612.629537580064,0.15673308965531196,0.055749294718708535,yes
82,8710.880593537626,0.15406439077774406,0.05699135040102885,yes
83,8808.86297180489,0.1494038266886269,0.059574651228024245,yes
84,8913.080630922228,0.15330985062456895,0.05682676748778501,yes
85,9013.65564347524,0.14980100219357229,0.05885651901281767,yes
86,9112.268558712534,0.15475150586889988,0.056929708675808044,yes
87,9206.240754809614,0.1603229472217818,0.05427498833896234,yes
88,9309.66094994044,0.15609620206795527,0.05763528233863167,yes
89,9407.897788626535,0.1709441060895077,0.04995189987782141,yes
90,9507.8829488722,0.16202657095147302,0.05659207924172167,yes
91,9609.880921411579,0.16371043551095257,0.05458949915653461,yes
92,9711.175373000018,0.1707233469199156,0.05230183658581648,yes
93,9811.520199044508,0.164743019634916,0.05378115105573401,yes
94,9913.603293888555,0.16295065605628511,0.05616846510403952,yes
95,10011.996337444682,0.16801925271017293,0.05381423817233832,yes
96,10111.03324265768,0.1664385007770484,0.05521930883134441,yes
97,10212.224465751522,0.16367540042658063,0.058726139887835344,yes
98,10312.82233036555,0.1744520306202124,0.050940885485721975,yes
99,10410.285086630103,0.1730698281550667,0.05248687360485118,yes
100,10509.649638590421,0.17319871874342976,0.053648658682218645,yes
101,10614.142529174718,0.1724241720762361,0.05367108020421508,yes
102,10710.560839396347,0.16415714025282813,0.059749516554203796,yes
103,10815.96522329779,0.17025397490783487,0.05548520591235982,yes
104,10912.76895405112,0.16789979894563292,0.058933426054743936,yes
105,11015.878986007127,0.16808963719592374,0.05793107836179741,yes
106,11113.903533060567,0.17587057140769874,0.05570240487189289,yes
107,11215.773943585013,0.16942241354885132,0.058711957832585066,yes
108,11316.062206624187,0.17298885070853767,0.05836150856718739,yes
109,11413.394347268413,0.16893151484201036,0.060989241899047024,yes
110,11510.957398623945,0.17685590657605096,0.05737828359346625,yes
111,11612.460620592188,0.1755350999230729,0.05844859236053,yes
112,11718.338144460464,0.1689694321044966,0.06218611640863613,yes
113,11819.039260222326,0.17486291127519613,0.05882165033786767,yes
114,11917.42977942899,0.16890454863057422,0.062289120592124554,yes
115,12014.708768232538,0.17345534304443752,0.058187141208211474,yes
116,12116.896721394445,0.17489675430527163,0.05894011183254321,yes
117,12214.27977942899,0.17308484409716365,0.058623817732473396,yes
118,12313.336791978058,0.16904434129213883,0.06215396270096984,yes
119,12414.608486551318,0.17556776322440013,0.05783863950850183,yes
120,12516.979102165344,0.1722764275947743,0.062275070876345116,yes
121,12614.671066897106,0.17854916319904082,0.06165083353171091,yes
122,12718.642792495308,0.17945651653436898,0.061477761237185714,yes
123,12821.79911001847,0.1808449383817842,0.05996066173811325,yes
