cro,avg_count,a,b,fit
11,1609.5695590951318,0.019086385908375674,18.071288805421283,yes
14,1909.8301830960613,0.023784097945761775,18.09046280854269,yes
18,2310.0570316593057,0.008872718557696408,0.35463142025993494,yes
19,2408.161471070629,0.01009583132093843,17.870978590268933,yes
20,2513.7654205566078,0.009688559232372232,0.11949707683958012,yes
22,2700.759073402471,0.015264878307068868,0.2805995570504598,yes
23,2798.6457593114137,0.042805797750834415,0.1413950977120745,yes
24,2898.3713647995974,0.050085609837268674,0.19293337305528732,yes
25,2996.293154167646,0.043710541596769695,0.15772470169207364,yes
26,3099.3870303043914,0.05890573748901999,0.09194592559517549,yes
27,3201.2705746456063,0.051202812964867804,0.07382271835889934,yes
28,3303.6515560551206,0.05736442098896314,0.09842226669268793,yes
29,3410.653183467272,0.05673861110300445,0.10795843314225655,yes
30,3503.6819456617486,0.05029038923420679,0.10628738721487765,yes
31,3600.7864376391844,0.05925791649594859,0.08257066523093688,yes
32,3703.1600481936075,0.06524552213249414,0.0763824751701159,yes
33,3807.716812669559,0.06286230004456772,0.1009235027413292,yes
34,3901.786208982263,0.052237984634873086,0.09444661007347263,yes
35,4010.87073715585,0.050916453975647605,0.14135236461254094,yes
36,4106.765728760807,0.05341403946976879,0.11508490652815048,yes
37,4202.36772994029,0.05269939767004837,0.1182821198106889,yes
38,4301.303517719793,0.0560376398073948,0.13248142951585914,yes
39,4404.894358272198,0.05864284780132159,0.09724928280115301,yes
40,4507.436227539625,0.07017107680406373,0.08328516804121688,yes
41,4606.132706141129,0.06373743748634798,0.11262450304876609,yes
42,4703.040985049869,0.06430759496892934,0.10773965548339291,yes
43,4807.9057154955135,0.06899871965862657,0.10476350408279436,yes
44,4906.889137349752,0.07402602637102437,0.10209507652258816,yes
45,5003.209746903751,0.08020565923099912,0.09200875208227649,yes
46,5106.56180600544,0.08617539342903616,0.08987311737180488,yes
47,5203.491202702467,0.08551926075428576,0.09468987495825856,yes
48,5305.9421165375115,0.0899397543355741,0.08482610941259687,yes
