cro,avg_count,a,b,fit
57,6210.428504013803,0.15883042022009744,0.06102793444863103,yes
58,6311.39525016396,0.16763957864218845,0.058201299199679674,yes
59,6408.903190930361,0.17857210959963365,0.051507167238579135,yes
60,6507.414023497132,0.1776292824791219,0.0536718076089906,yes
61,6607.5990590938045,0.172149995764186,0.05452264442833335,yes
62,6708.253971205708,0.18095898083488418,0.05335474821926469,yes
63,6810.043453519145,0.1873136495609597,0.04779263343458659,yes
64,6906.782970875321,0.16465524348762667,0.0577721280221404,yes
65,7008.09906325274,0.17414022738882018,0.05526904631945868,yes
66,7109.989284687748,0.17633592599831704,0.05590139985122797,yes
67,7207.111267025226,0.17510547127977497,0.05507059353294147,yes
68,7311.140064548537,0.17995215073548687,0.053054866283075444,yes
69,7412.214023497133,0.17575159848942917,0.05474936952834245,yes
70,7509.159141300461,0.179538211010138,0.05332281431559901,yes
71,7608.30718198017,0.17126121105565237,0.05662992556314061,yes
72,7708.25558289718,0.1657635310838894,0.0613878082609519,yes
73,7806.641909173284,0.1890332874037568,0.050053815116805005,yes
74,7910.364158768185,0.18258470558686724,0.05451805252000009,yes
75,8010.690673128909,0.17732430957334747,0.056472505682917576,yes
76,8109.961990942839,0.18099358288607642,0.05555626313975537,yes
77,8209.419328976508,0.18377753956442788,0.05409814568565371,yes
78,8311.433980419057,0.18509817549664281,0.05370163228724308,yes
79,8409.612237263775,0.18329693097475003,0.057704963750649915,yes
80,8512.478486441905,0.18728367529868253,0.054058783001696344,yes
81,8608.212865541474,0.17825627519163914,0.05752990465215655,yes
82,8709.624350118145,0.17961778581133825,0.05839246500564872,yes
83,8811.978540262739,0.18475301281901063,0.057352826741471595,yes
84,8912.797036977847,0.18435633018490227,0.05864163117618912,yes
85,9010.557457270119,0.18497416612635456,0.058625329379653916,yes
86,9112.469659843577,0.18988639978489816,0.055482418778889014,yes
87,9216.283878307871,0.1908300163253365,0.058053813628869716,yes
88,9313.642921083167,0.19883969143339109,0.055418392523423475,yes
89,9414.697750425461,0.19857839044080483,0.05589551563006868,yes
90,9513.209522393123,0.1906653108608031,0.05740934626120066,yes
91,9613.4620984962,0.19942963840185302,0.055015856626997,yes
92,9712.986684528989,0.2019437743778629,0.054966255051738196,yes
93,9813.936941915497,0.2026967255630848,0.056602954898851386,yes
94,9914.269923723901,0.19422632848919238,0.059139379661729226,yes
95,10012.8451343288,0.20195254422659953,0.056324414293705785,yes
96,10114.867855185972,0.2050227618088198,0.05556257337955925,yes
97,10216.009522393122,0.2136805156191956,0.05415287233411725,yes
98,10316.294676015412,0.21098373314650193,0.05559742240441308,yes
99,10414.657687700565,0.21503555385504422,0.055064937998122274,yes
100,10515.647260560756,0.2101020541181863,0.05642676339051257,yes
101,10615.130114172707,0.21475878243705512,0.056612612388008805,yes
102,10714.116083718913,0.21476244799062685,0.055140282162032477,yes
103,10818.810309682132,0.21077475509252117,0.056546832824378584,yes
104,10917.30709948785,0.21933223965883986,0.054664394577390085,yes
105,11017.555645663873,0.2175333102330129,0.055171143557720355,yes
106,11115.529851497055,0.21656456825768391,0.055314192921240644,yes
107,11217.493170884583,0.21748911545842425,0.05630888006526839,yes
108,11320.999247630481,0.225565517455864,0.05413423487804509,yes
109,11416.636565471068,0.22055021675535388,0.05556269441762529,yes
