cro,avg_count,a,b,fit
144,14914.497066887154,name 't' is not defined,nil,no
145,15010.110150481252,name 't' is not defined,nil,no
146,15112.553340059741,name 't' is not defined,nil,no
147,15211.246238751579,name 't' is not defined,nil,no
148,15316.25108400765,name 't' is not defined,nil,no
149,15412.612780882078,name 't' is not defined,nil,no
150,15513.44330386127,name 't' is not defined,nil,no
151,15613.997004649395,name 't' is not defined,nil,no
152,15715.285523714885,name 't' is not defined,nil,no
153,15819.402000219497,name 't' is not defined,nil,no
154,15922.066942285257,name 't' is not defined,nil,no
155,16018.943430765177,name 't' is not defined,nil,no
156,16113.487878108135,name 't' is not defined,nil,no
157,16216.925367101094,name 't' is not defined,nil,no
158,16320.424031237133,name 't' is not defined,nil,no
159,16419.45897768953,name 't' is not defined,nil,no
160,16514.393041678126,name 't' is not defined,nil,no
161,16616.10606010186,name 't' is not defined,nil,no
162,16718.449731354816,name 't' is not defined,nil,no
163,16813.04549085025,name 't' is not defined,nil,no
164,16918.374581058204,name 't' is not defined,nil,no
165,17020.101618961566,name 't' is not defined,nil,no
166,17117.61336507362,name 't' is not defined,nil,no
167,17217.584207068383,name 't' is not defined,nil,no
168,17318.3367499217,name 't' is not defined,nil,no
169,17418.634952336244,name 't' is not defined,nil,no
170,17519.70188394679,name 't' is not defined,nil,no
171,17618.90818708943,name 't' is not defined,nil,no
172,17723.523426265896,name 't' is not defined,nil,no
173,17820.678397626405,name 't' is not defined,nil,no
174,17921.403893907045,name 't' is not defined,nil,no
175,18024.379687280492,name 't' is not defined,nil,no
176,18123.762629350007,name 't' is not defined,nil,no
177,18225.31431653068,name 't' is not defined,nil,no
178,18323.26814237135,name 't' is not defined,nil,no
179,18423.101069052067,name 't' is not defined,nil,no
180,18521.72208390116,name 't' is not defined,nil,no
181,18623.603167091795,name 't' is not defined,nil,no
182,18725.02968728049,name 't' is not defined,nil,no
183,18823.381041197368,name 't' is not defined,nil,no
184,18922.868460118098,name 't' is not defined,nil,no
185,19022.64197496007,name 't' is not defined,nil,no
186,19121.613930314474,name 't' is not defined,nil,no
187,19222.359765148834,name 't' is not defined,nil,no
188,19321.793521444182,name 't' is not defined,nil,no
189,19427.307081508265,name 't' is not defined,nil,no
190,19523.217093769905,name 't' is not defined,nil,no
191,19628.222054723054,name 't' is not defined,nil,no
192,19724.56194394167,name 't' is not defined,nil,no
193,19822.526933234003,name 't' is not defined,nil,no
194,19926.378829638947,name 't' is not defined,nil,no
195,20029.45642910833,name 't' is not defined,nil,no
196,20126.222783567293,name 't' is not defined,nil,no
197,20226.80987160946,name 't' is not defined,nil,no
198,20330.08440865642,name 't' is not defined,nil,no
199,20427.132720771406,name 't' is not defined,nil,no
200,20526.68817748609,name 't' is not defined,nil,no
201,20633.281280656996,name 't' is not defined,nil,no
202,20730.744035612843,name 't' is not defined,nil,no
203,20831.48422754472,name 't' is not defined,nil,no
204,20931.235922582768,name 't' is not defined,nil,no
205,21031.279702734282,name 't' is not defined,nil,no
206,21133.680685077008,name 't' is not defined,nil,no
207,21238.129581681,name 't' is not defined,nil,no
208,21335.036124579405,name 't' is not defined,nil,no
209,21433.658329206046,name 't' is not defined,nil,no
210,21535.36700533236,name 't' is not defined,nil,no
211,21638.110730907327,name 't' is not defined,nil,no
212,21731.761112174576,name 't' is not defined,nil,no
213,21836.150867960012,name 't' is not defined,nil,no
214,21934.08943835303,name 't' is not defined,nil,no
215,22037.727712979624,name 't' is not defined,nil,no
216,22137.945843578593,name 't' is not defined,nil,no
217,22243.34364603503,name 't' is not defined,nil,no
218,22337.765460551203,name 't' is not defined,nil,no
219,22441.517678953936,name 't' is not defined,nil,no
220,22544.643460118103,name 't' is not defined,nil,no
221,22645.005162597285,name 't' is not defined,nil,no
222,22742.647024431328,name 't' is not defined,nil,no
223,22839.43481694795,name 't' is not defined,nil,no
224,22944.18373569053,name 't' is not defined,nil,no
225,23046.42510587877,name 't' is not defined,nil,no
226,23149.062684362256,name 't' is not defined,nil,no
227,23244.249280932843,name 't' is not defined,nil,no
228,23346.15097524013,name 't' is not defined,nil,no
229,23447.59350348121,name 't' is not defined,nil,no
230,23552.883293389386,name 't' is not defined,nil,no
231,23650.315931323476,name 't' is not defined,nil,no
232,23750.956317632295,name 't' is not defined,nil,no
233,23850.996635604602,name 't' is not defined,nil,no
234,23953.081019352107,name 't' is not defined,nil,no
235,24056.211834074722,name 't' is not defined,nil,no
236,24152.269611701566,name 't' is not defined,nil,no
237,24256.88544106295,name 't' is not defined,nil,no
238,24357.38473280195,name 't' is not defined,nil,no
239,24459.602738768455,name 't' is not defined,nil,no
240,24553.444342121315,name 't' is not defined,nil,no
241,24645.009812546527,name 't' is not defined,nil,no
242,24759.227078180138,name 't' is not defined,nil,no
243,24860.44697817297,name 't' is not defined,nil,no
244,24960.931019352105,name 't' is not defined,nil,no
245,25059.88060567045,name 't' is not defined,nil,no
246,25160.052129449123,name 't' is not defined,nil,no
247,25252.0963771495,name 't' is not defined,nil,no
248,25367.98440865642,name 't' is not defined,nil,no
249,25463.261390214197,name 't' is not defined,nil,no
250,25573.72238064807,name 't' is not defined,nil,no
251,25641.466712366127,name 't' is not defined,nil,no
252,25744.275928659416,name 't' is not defined,nil,no
